filename,item_id,order,devoiced
101_supershit666_1,1,1,0
101_supershit666_1,1,2,0
101_supershit666_1,1,3,0
101_supershit666_2,2,1,0
101_supershit666_2,2,2,0
101_supershit666_2,2,3,0
101_supershit666_3,3,1,0
101_supershit666_3,3,2,0
101_supershit666_3,3,3,0
101_supershit666_4,4,1,0
101_supershit666_4,4,2,0
101_supershit666_4,4,3,0
101_supershit666_5,5,1,0
101_supershit666_5,5,2,0
101_supershit666_5,5,3,0
101_supershit666_6,6,1,0
101_supershit666_6,6,2,0
101_supershit666_6,6,3,0
101_supershit666_7,7,1,0
101_supershit666_7,7,2,0
101_supershit666_7,7,3,0
101_supershit666_8,8,1,0
101_supershit666_8,8,2,0
101_supershit666_8,8,3,0
105_yutapon1967_1,1,1,0
105_yutapon1967_1,1,2,0
105_yutapon1967_1,1,3,0
105_yutapon1967_2,2,1,0
105_yutapon1967_2,2,2,0
105_yutapon1967_2,2,3,0
105_yutapon1967_3,3,1,0
105_yutapon1967_3,3,2,0
105_yutapon1967_3,3,3,0
105_yutapon1967_4,4,1,0
105_yutapon1967_4,4,2,0
105_yutapon1967_4,4,3,0
105_yutapon1967_5,5,1,0
105_yutapon1967_5,5,2,0
105_yutapon1967_5,5,3,0
105_yutapon1967_6,6,1,0
105_yutapon1967_6,6,2,0
105_yutapon1967_6,6,3,0
105_yutapon1967_7,7,1,0
105_yutapon1967_7,7,2,0
105_yutapon1967_7,7,3,0
105_yutapon1967_8,8,1,0
105_yutapon1967_8,8,2,0
105_yutapon1967_8,8,3,0
107_beko_1,1,1,0
107_beko_1,1,2,0
107_beko_1,1,3,0
107_beko_2,2,1,0
107_beko_2,2,2,0
107_beko_2,2,3,0
107_beko_3,3,1,0
107_beko_3,3,2,0
107_beko_3,3,3,0
107_beko_4,4,1,0
107_beko_4,4,2,0
107_beko_4,4,3,0
107_beko_5,5,1,0
107_beko_5,5,2,0
107_beko_5,5,3,0
107_beko_6,6,1,0
107_beko_6,6,2,0
107_beko_6,6,3,0
107_beko_7,7,1,0
107_beko_7,7,2,0
107_beko_7,7,3,0
107_beko_8,8,1,0
107_beko_8,8,2,0
107_beko_8,8,3,0
108_（たかはし）_1,1,1,0
108_（たかはし）_1,1,2,0
108_（たかはし）_1,1,3,0
108_（たかはし）_2,2,1,0
108_（たかはし）_2,2,2,0
108_（たかはし）_2,2,3,0
108_（たかはし）_3,3,1,0
108_（たかはし）_3,3,2,0
108_（たかはし）_3,3,3,0
108_（たかはし）_4,4,1,0
108_（たかはし）_4,4,2,0
108_（たかはし）_4,4,3,0
108_（たかはし）_5,5,1,0
108_（たかはし）_5,5,2,0
108_（たかはし）_5,5,3,0
108_（たかはし）_6,6,1,0
108_（たかはし）_6,6,2,0
108_（たかはし）_6,6,3,0
108_（たかはし）_7,7,1,0
108_（たかはし）_7,7,2,0
108_（たかはし）_7,7,3,0
108_（たかはし）_8,8,1,0
108_（たかはし）_8,8,2,0
108_（たかはし）_8,8,3,0
109_NAHYRM_1,1,1,1
109_NAHYRM_1,1,2,1
109_NAHYRM_1,1,3,1
109_NAHYRM_2,2,1,1
109_NAHYRM_2,2,2,1
109_NAHYRM_2,2,3,1
109_NAHYRM_3,3,1,0
109_NAHYRM_3,3,2,0
109_NAHYRM_3,3,3,0
109_NAHYRM_4,4,1,1
109_NAHYRM_4,4,2,1
109_NAHYRM_4,4,3,1
109_NAHYRM_5,5,1,0
109_NAHYRM_5,5,2,0
109_NAHYRM_5,5,3,1
109_NAHYRM_6,6,1,1
109_NAHYRM_6,6,2,1
109_NAHYRM_6,6,3,1
109_NAHYRM_7,7,1,0
109_NAHYRM_7,7,2,0
109_NAHYRM_7,7,3,0
109_NAHYRM_8,8,1,0
109_NAHYRM_8,8,2,0
109_NAHYRM_8,8,3,0
10_9002_1,1,1,0
10_9002_1,1,2,0
10_9002_1,1,3,0
10_9002_2,2,1,0
10_9002_2,2,2,0
10_9002_2,2,3,0
10_9002_3,3,1,0
10_9002_3,3,2,0
10_9002_3,3,3,0
10_9002_4,4,1,0
10_9002_4,4,2,0
10_9002_4,4,3,0
10_9002_5,5,1,0
10_9002_5,5,2,0
10_9002_5,5,3,0
10_9002_6,6,1,0
10_9002_6,6,2,0
10_9002_6,6,3,0
10_9002_7,7,1,0
10_9002_7,7,2,0
10_9002_7,7,3,0
10_9002_8,8,1,0
10_9002_8,8,2,0
10_9002_8,8,3,0
10_minmin0214_1,1,1,0
10_minmin0214_1,1,2,0
10_minmin0214_1,1,3,0
10_minmin0214_2,2,1,1
10_minmin0214_2,2,2,0
10_minmin0214_2,2,3,0
10_minmin0214_3,3,1,0
10_minmin0214_3,3,2,0
10_minmin0214_3,3,3,0
10_minmin0214_4,4,1,0
10_minmin0214_4,4,2,0
10_minmin0214_4,4,3,0
10_minmin0214_5,5,1,1
10_minmin0214_5,5,2,1
10_minmin0214_5,5,3,1
10_minmin0214_6,6,1,0
10_minmin0214_6,6,2,0
10_minmin0214_6,6,3,0
10_minmin0214_7,7,1,0
10_minmin0214_7,7,2,1
10_minmin0214_7,7,3,0
10_minmin0214_8,8,1,1
10_minmin0214_8,8,2,1
10_minmin0214_8,8,3,1
117_HanaeKinoshita_1,1,1,0
117_HanaeKinoshita_1,1,2,0
117_HanaeKinoshita_1,1,3,0
117_HanaeKinoshita_2,2,1,0
117_HanaeKinoshita_2,2,2,0
117_HanaeKinoshita_2,2,3,0
117_HanaeKinoshita_3,3,1,0
117_HanaeKinoshita_3,3,2,0
117_HanaeKinoshita_3,3,3,0
117_HanaeKinoshita_4,4,1,0
117_HanaeKinoshita_4,4,2,0
117_HanaeKinoshita_4,4,3,0
117_HanaeKinoshita_5,5,1,0
117_HanaeKinoshita_5,5,2,0
117_HanaeKinoshita_5,5,3,0
117_HanaeKinoshita_6,6,1,0
117_HanaeKinoshita_6,6,2,0
117_HanaeKinoshita_6,6,3,0
117_HanaeKinoshita_7,7,1,0
117_HanaeKinoshita_7,7,2,0
117_HanaeKinoshita_7,7,3,0
117_HanaeKinoshita_8,8,1,0
117_HanaeKinoshita_8,8,2,0
117_HanaeKinoshita_8,8,3,0
11_2000_1,1,1,0
11_2000_1,1,2,0
11_2000_1,1,3,0
11_2000_2,2,1,0
11_2000_2,2,2,0
11_2000_2,2,3,0
11_2000_3,3,1,0
11_2000_3,3,2,0
11_2000_3,3,3,0
11_2000_4,4,1,0
11_2000_4,4,2,0
11_2000_4,4,3,0
11_2000_5,5,1,0
11_2000_5,5,2,0
11_2000_5,5,3,0
11_2000_6,6,1,0
11_2000_6,6,2,0
11_2000_6,6,3,0
11_2000_7,7,1,0
11_2000_7,7,2,0
11_2000_7,7,3,0
11_2000_8,8,1,0
11_2000_8,8,2,0
11_2000_8,8,3,0
127_0007_1,1,1,0
127_0007_1,1,2,0
127_0007_1,1,3,0
127_0007_2,2,1,0
127_0007_2,2,2,0
127_0007_2,2,3,0
127_0007_3,3,1,0
127_0007_3,3,2,0
127_0007_3,3,3,0
127_0007_4,4,1,0
127_0007_4,4,2,0
127_0007_4,4,3,0
127_0007_5,5,1,0
127_0007_5,5,2,0
127_0007_5,5,3,0
127_0007_6,6,1,1
127_0007_6,6,2,1
127_0007_6,6,3,0
127_0007_7,7,1,0
127_0007_7,7,2,0
127_0007_7,7,3,0
127_0007_8,8,1,0
127_0007_8,8,2,0
127_0007_8,8,3,0
128_0009_1,1,1,0
128_0009_1,1,2,0
128_0009_1,1,3,0
128_0009_2,2,1,0
128_0009_2,2,2,1
128_0009_2,2,3,0
128_0009_3,3,1,0
128_0009_3,3,2,0
128_0009_3,3,3,0
128_0009_4,4,1,0
128_0009_4,4,2,0
128_0009_4,4,3,0
128_0009_5,5,1,0
128_0009_5,5,2,0
128_0009_5,5,3,0
128_0009_6,6,1,1
128_0009_6,6,2,1
128_0009_6,6,3,1
128_0009_7,7,1,0
128_0009_7,7,2,0
128_0009_7,7,3,0
128_0009_8,8,1,0
128_0009_8,8,2,0
128_0009_8,8,3,0
12_lcptn15_1,1,1,NA
12_lcptn15_1,1,2,NA
12_lcptn15_1,1,3,NA
12_lcptn15_2,2,1,NA
12_lcptn15_2,2,2,NA
12_lcptn15_2,2,3,NA
12_lcptn15_3,3,1,NA
12_lcptn15_3,3,2,NA
12_lcptn15_3,3,3,NA
12_lcptn15_4,4,1,NA
12_lcptn15_4,4,2,NA
12_lcptn15_4,4,3,NA
12_lcptn15_5,5,1,NA
12_lcptn15_5,5,2,NA
12_lcptn15_5,5,3,NA
12_lcptn15_6,6,1,NA
12_lcptn15_6,6,2,NA
12_lcptn15_6,6,3,NA
12_lcptn15_7,7,1,NA
12_lcptn15_7,7,2,NA
12_lcptn15_7,7,3,NA
12_lcptn15_8,8,1,NA
12_lcptn15_8,8,2,NA
12_lcptn15_8,8,3,NA
131_0008_1,1,1,0
131_0008_1,1,2,0
131_0008_1,1,3,0
131_0008_2,2,1,0
131_0008_2,2,2,0
131_0008_2,2,3,0
131_0008_3,3,1,0
131_0008_3,3,2,0
131_0008_3,3,3,0
131_0008_4,4,1,0
131_0008_4,4,2,0
131_0008_4,4,3,0
131_0008_5,5,1,0
131_0008_5,5,2,0
131_0008_5,5,3,0
131_0008_6,6,1,1
131_0008_6,6,2,1
131_0008_6,6,3,1
131_0008_7,7,1,0
131_0008_7,7,2,0
131_0008_7,7,3,0
131_0008_8,8,1,0
131_0008_8,8,2,0
131_0008_8,8,3,0
135_rag_55_1,1,1,0
135_rag_55_1,1,2,0
135_rag_55_1,1,3,0
135_rag_55_2,2,1,0
135_rag_55_2,2,2,0
135_rag_55_2,2,3,0
135_rag_55_3,3,1,0
135_rag_55_3,3,2,0
135_rag_55_3,3,3,0
135_rag_55_4,4,1,0
135_rag_55_4,4,2,0
135_rag_55_4,4,3,0
135_rag_55_5,5,1,0
135_rag_55_5,5,2,0
135_rag_55_5,5,3,0
135_rag_55_6,6,1,0
135_rag_55_6,6,2,0
135_rag_55_6,6,3,0
135_rag_55_7,7,1,0
135_rag_55_7,7,2,0
135_rag_55_7,7,3,0
135_rag_55_8,8,1,0
135_rag_55_8,8,2,0
135_rag_55_8,8,3,0
136_hyoukai76_1,1,1,0
136_hyoukai76_1,1,2,0
136_hyoukai76_1,1,3,0
136_hyoukai76_2,2,1,0
136_hyoukai76_2,2,2,0
136_hyoukai76_2,2,3,0
136_hyoukai76_3,3,1,0
136_hyoukai76_3,3,2,0
136_hyoukai76_3,3,3,0
136_hyoukai76_4,4,1,0
136_hyoukai76_4,4,2,0
136_hyoukai76_4,4,3,0
136_hyoukai76_5,5,1,0
136_hyoukai76_5,5,2,0
136_hyoukai76_5,5,3,0
136_hyoukai76_6,6,1,0
136_hyoukai76_6,6,2,0
136_hyoukai76_6,6,3,0
136_hyoukai76_7,7,1,0
136_hyoukai76_7,7,2,0
136_hyoukai76_7,7,3,0
136_hyoukai76_8,8,1,0
136_hyoukai76_8,8,2,0
136_hyoukai76_8,8,3,0
139_もちこ79_1,1,1,0
139_もちこ79_1,1,2,0
139_もちこ79_1,1,3,0
139_もちこ79_2,2,1,0
139_もちこ79_2,2,2,0
139_もちこ79_2,2,3,0
139_もちこ79_3,3,1,0
139_もちこ79_3,3,2,0
139_もちこ79_3,3,3,0
139_もちこ79_4,4,1,0
139_もちこ79_4,4,2,0
139_もちこ79_4,4,3,0
139_もちこ79_5,5,1,0
139_もちこ79_5,5,2,0
139_もちこ79_5,5,3,0
139_もちこ79_6,6,1,0
139_もちこ79_6,6,2,0
139_もちこ79_6,6,3,0
139_もちこ79_7,7,1,0
139_もちこ79_7,7,2,0
139_もちこ79_7,7,3,0
139_もちこ79_8,8,1,0
139_もちこ79_8,8,2,0
139_もちこ79_8,8,3,0
143_michiko0257_1,1,1,1
143_michiko0257_1,1,2,1
143_michiko0257_1,1,3,1
143_michiko0257_2,2,1,1
143_michiko0257_2,2,2,1
143_michiko0257_2,2,3,1
143_michiko0257_3,3,1,0
143_michiko0257_3,3,2,0
143_michiko0257_3,3,3,0
143_michiko0257_4,4,1,1
143_michiko0257_4,4,2,1
143_michiko0257_4,4,3,1
143_michiko0257_5,5,1,0
143_michiko0257_5,5,2,0
143_michiko0257_5,5,3,0
143_michiko0257_6,6,1,1
143_michiko0257_6,6,2,1
143_michiko0257_6,6,3,1
143_michiko0257_7,7,1,0
143_michiko0257_7,7,2,0
143_michiko0257_7,7,3,0
143_michiko0257_8,8,1,1
143_michiko0257_8,8,2,1
143_michiko0257_8,8,3,1
147_Weetabix_1,1,1,0
147_Weetabix_1,1,2,0
147_Weetabix_1,1,3,0
147_Weetabix_2,2,1,0
147_Weetabix_2,2,2,0
147_Weetabix_2,2,3,0
147_Weetabix_3,3,1,0
147_Weetabix_3,3,2,0
147_Weetabix_3,3,3,0
147_Weetabix_4,4,1,0
147_Weetabix_4,4,2,0
147_Weetabix_4,4,3,0
147_Weetabix_5,5,1,0
147_Weetabix_5,5,2,0
147_Weetabix_5,5,3,0
147_Weetabix_6,6,1,0
147_Weetabix_6,6,2,0
147_Weetabix_6,6,3,0
147_Weetabix_7,7,1,0
147_Weetabix_7,7,2,0
147_Weetabix_7,7,3,0
147_Weetabix_8,8,1,0
147_Weetabix_8,8,2,0
147_Weetabix_8,8,3,0
148_0006_1,1,1,0
148_0006_1,1,2,0
148_0006_1,1,3,0
148_0006_2,2,1,0
148_0006_2,2,2,0
148_0006_2,2,3,0
148_0006_3,3,1,0
148_0006_3,3,2,0
148_0006_3,3,3,0
148_0006_4,4,1,0
148_0006_4,4,2,0
148_0006_4,4,3,0
148_0006_5,5,1,0
148_0006_5,5,2,0
148_0006_5,5,3,0
148_0006_6,6,1,0
148_0006_6,6,2,0
148_0006_6,6,3,0
148_0006_7,7,1,0
148_0006_7,7,2,0
148_0006_7,7,3,0
148_0006_8,8,1,0
148_0006_8,8,2,0
148_0006_8,8,3,0
148_みゆね_1,1,1,1
148_みゆね_1,1,2,1
148_みゆね_1,1,3,1
148_みゆね_2,2,1,0
148_みゆね_2,2,2,0
148_みゆね_2,2,3,0
148_みゆね_3,3,1,0
148_みゆね_3,3,2,0
148_みゆね_3,3,3,0
148_みゆね_4,4,1,1
148_みゆね_4,4,2,1
148_みゆね_4,4,3,1
148_みゆね_5,5,1,0
148_みゆね_5,5,2,1
148_みゆね_5,5,3,0
148_みゆね_6,6,1,0
148_みゆね_6,6,2,1
148_みゆね_6,6,3,1
148_みゆね_7,7,1,0
148_みゆね_7,7,2,0
148_みゆね_7,7,3,0
148_みゆね_8,8,1,0
148_みゆね_8,8,2,0
148_みゆね_8,8,3,0
149_0005_1,1,1,0
149_0005_1,1,2,0
149_0005_1,1,3,0
149_0005_2,2,1,0
149_0005_2,2,2,0
149_0005_2,2,3,0
149_0005_3,3,1,0
149_0005_3,3,2,0
149_0005_3,3,3,0
149_0005_4,4,1,0
149_0005_4,4,2,0
149_0005_4,4,3,0
149_0005_5,5,1,0
149_0005_5,5,2,0
149_0005_5,5,3,0
149_0005_6,6,1,0
149_0005_6,6,2,0
149_0005_6,6,3,1
149_0005_7,7,1,0
149_0005_7,7,2,0
149_0005_7,7,3,0
149_0005_8,8,1,0
149_0005_8,8,2,0
149_0005_8,8,3,0
14_fwna2149_1,1,1,NA
14_fwna2149_1,1,2,NA
14_fwna2149_1,1,3,NA
14_fwna2149_2,2,1,NA
14_fwna2149_2,2,2,NA
14_fwna2149_2,2,3,NA
14_fwna2149_3,3,1,NA
14_fwna2149_3,3,2,NA
14_fwna2149_3,3,3,NA
14_fwna2149_4,4,1,NA
14_fwna2149_4,4,2,NA
14_fwna2149_4,4,3,NA
14_fwna2149_5,5,1,NA
14_fwna2149_5,5,2,NA
14_fwna2149_5,5,3,NA
14_fwna2149_6,6,1,NA
14_fwna2149_6,6,2,NA
14_fwna2149_6,6,3,NA
14_fwna2149_7,7,1,NA
14_fwna2149_7,7,2,NA
14_fwna2149_7,7,3,NA
14_fwna2149_8,8,1,NA
14_fwna2149_8,8,2,NA
14_fwna2149_8,8,3,NA
151_1008_1,1,1,NA
151_1008_1,1,2,NA
151_1008_1,1,3,NA
151_1008_2,2,1,NA
151_1008_2,2,2,NA
151_1008_2,2,3,NA
151_1008_3,3,1,NA
151_1008_3,3,2,NA
151_1008_3,3,3,NA
151_1008_4,4,1,NA
151_1008_4,4,2,NA
151_1008_4,4,3,NA
151_1008_5,5,1,NA
151_1008_5,5,2,NA
151_1008_5,5,3,NA
151_1008_6,6,1,NA
151_1008_6,6,2,NA
151_1008_6,6,3,NA
151_1008_7,7,1,NA
151_1008_7,7,2,NA
151_1008_7,7,3,NA
151_1008_8,8,1,NA
151_1008_8,8,2,NA
151_1008_8,8,3,NA
152_rurusieru_1,1,1,NA
152_rurusieru_1,1,2,NA
152_rurusieru_1,1,3,NA
152_rurusieru_2,2,1,NA
152_rurusieru_2,2,2,NA
152_rurusieru_2,2,3,NA
152_rurusieru_3,3,1,NA
152_rurusieru_3,3,2,NA
152_rurusieru_3,3,3,NA
152_rurusieru_4,4,1,NA
152_rurusieru_4,4,2,NA
152_rurusieru_4,4,3,NA
152_rurusieru_5,5,1,NA
152_rurusieru_5,5,2,NA
152_rurusieru_5,5,3,NA
152_rurusieru_6,6,1,NA
152_rurusieru_6,6,2,NA
152_rurusieru_6,6,3,NA
152_rurusieru_7,7,1,NA
152_rurusieru_7,7,2,NA
152_rurusieru_7,7,3,NA
152_rurusieru_8,8,1,NA
152_rurusieru_8,8,2,NA
152_rurusieru_8,8,3,NA
154_kojima1204_1,1,1,NA
154_kojima1204_1,1,2,NA
154_kojima1204_1,1,3,NA
154_kojima1204_2,2,1,NA
154_kojima1204_2,2,2,NA
154_kojima1204_2,2,3,NA
154_kojima1204_3,3,1,NA
154_kojima1204_3,3,2,NA
154_kojima1204_3,3,3,NA
154_kojima1204_4,4,1,NA
154_kojima1204_4,4,2,NA
154_kojima1204_4,4,3,NA
154_kojima1204_5,5,1,NA
154_kojima1204_5,5,2,NA
154_kojima1204_5,5,3,NA
154_kojima1204_6,6,1,NA
154_kojima1204_6,6,2,NA
154_kojima1204_6,6,3,NA
154_kojima1204_7,7,1,NA
154_kojima1204_7,7,2,NA
154_kojima1204_7,7,3,NA
154_kojima1204_8,8,1,NA
154_kojima1204_8,8,2,NA
154_kojima1204_8,8,3,NA
159_johnsmith2_1,1,1,NA
159_johnsmith2_1,1,2,NA
159_johnsmith2_1,1,3,NA
159_johnsmith2_2,2,1,NA
159_johnsmith2_2,2,2,NA
159_johnsmith2_2,2,3,NA
159_johnsmith2_3,3,1,NA
159_johnsmith2_3,3,2,NA
159_johnsmith2_3,3,3,NA
159_johnsmith2_4,4,1,NA
